PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
Vali Konağı Caddesi 1,Şişli Vali Konağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,ŞİŞLİ,28.9879749441319,41.0488233569155
Şakayık Sokak 1,Şişli Şakayık Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9955656052444,41.0495232987717
Hüsrev Gerede Sokak 1,Şişli Hüsrev Gerede Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.99497557817,41.0483895406422
Sezai Selek Sokak 1,Seza-i Selek Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9959741661449,41.0533861999073
Maçka Caddesi 1,Şişli Maçka Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-00:00,ŞİŞLİ,28.9929548331432,41.0466296925246
Maçka Caddesi 6,Şişli Maçka Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-00:00,ŞİŞLİ,28.9944976003196,41.0478293701563
Taşkışla Caddesi 3,Şişli Taşkışla Caddes,YOL ÜSTÜ,YOL ÜSTÜ,0,09:00-21:00,ŞİŞLİ,28.9913023111126,41.0479375617614
Vefa Bey Sokak 1,Vefabey Soka,YOL ÜSTÜ,YOL ÜSTÜ,37,08:00-18:00,BEŞİKTAŞ,29.0066024007241,41.0655057224779
Müselles Sokak 2,Müselles Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,07:00-17:00,ŞİŞLİ,29.0115881307145,41.0688297324025
Alemdağ Caddesi 5,Alemdağ Caddes,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-19:00,ÜMRANİYE,29.0941080028222,41.025531237132
Ihlamur Dere Caddesi 1,Ihlamur Dere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-19:00,BEŞİKTAŞ,29.0034525176203,41.043801637794
Ihlamur Dere Caddesi 6,Ihlamur Dere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-19:00,BEŞİKTAŞ,29.0024029610158,41.0463832988957
Dereboyu Caddesi 2,Ortaköy Dereboyu Caddes,YOL ÜSTÜ,YOL ÜSTÜ,22,09:00-18:00,BEŞİKTAŞ,29.0238075739657,41.0525791949699
Alemdağ Caddesi 21 (Test),Alemdağ Caddes,YOL ÜSTÜ,YOL ÜSTÜ,500,08:00-19:00,ÜMRANİYE,29.0992011597313,41.0253098598845
Karakol Caddesi 1,Karakol Caddes,YOL ÜSTÜ,YOL ÜSTÜ,18,08:00-19:00,BEŞİKTAŞ,29.0164071577363,41.0754029841827
Gonca Esnaf Önü 1,Levent Esnaf Ön,YOL ÜSTÜ,YOL ÜSTÜ,23,08:00-19:00,BEŞİKTAŞ,29.0166958601018,41.0759943082714
Bosna Bulvarı 4,Ümraniye Bosna Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,ÜMRANİYE,29.0844743268431,41.0249386157846
Hakimiyet-i Milliye Caddesi 2,Üsküdar Hakimiyet-i Milliye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,ÜSKÜDAR,29.0160325169563,41.0225429704273
Perşembe Pazarı 2,Karaköy Perşembe Pazar,YOL ÜSTÜ,YOL ÜSTÜ,32,08:00-18:00,BEYOĞLU,28.9702788851639,41.0241210457322
Poyraz Yol Üstü 6,Poyraz Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,36,08:00-18:00,KADIKÖY,29.0405026416849,40.9920091951619
Ataşehir Bulvarı 5,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,ATAŞEHİR,29.1253191232681,40.992844048405
Kabataş Set Üstü 1,Kabataş Setüst,YOL ÜSTÜ,YOL ÜSTÜ,60,08:00-18:00,BEYOĞLU,28.9939445232645,41.03618849195
Atatürk Bulvarı,Atatürk Bulvarı ,YOL ÜSTÜ,YOL ÜSTÜ,50,07:30-18:30,FATİH,28.9535198446565,41.0122623682819
Rumeli Hisar Önü Açık Otoparkı,Rumeli Hisar Ön,AÇIK OTOPARK,AÇIK OTOPARK,70,24 Saat,SARIYER,29.0567112087024,41.0854593814072
İstinye 3 ( Hastane Karşısı ),İstinye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,SARIYER,29.0561602469287,41.1149636096173
Sarıyer Deresi Sokak 1,Sarıyer Deresi Soka,YOL ÜSTÜ,YOL ÜSTÜ,13,08:00-18:00,SARIYER,29.0570374249283,41.1688570495518
Kazım Özalp Sokak 4,Kazım Özalp Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-20:00,KADIKÖY,29.0749115135856,40.9611866209756
Kazım Özalp Sokak 8,Kazım Özalp Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-20:00,KADIKÖY,29.0773943554361,40.9635441572401
Yalı Köşkü Caddesi 1,Yalı Köşkü Caddes,YOL ÜSTÜ,YOL ÜSTÜ,100,07:00-22:00,FATİH,28.9754037237857,41.0162288353242
Kartal Hürriyet Caddesi 2,Kartal Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,KARTAL,29.1862580075555,40.8890847976314
Kartal Hürriyet Caddesi 4,Kartal Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,KARTAL,29.1883651661649,40.8894515025413
Kartal Savarona Caddesi 1,Kartal Savarona Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,KARTAL,29.1830874212264,40.8872001154773
Pendik Lokman Hekim Caddesi 1,Pendik Lokman Hekim Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,PENDİK,29.2352065289303,40.8794321103302
Gonca Sokak 2,Gonca Soka,YOL ÜSTÜ,YOL ÜSTÜ,16,08:00-19:00,BEŞİKTAŞ,29.0169571733483,41.0759876415465
Oda Kule Önü 1,Odakule Ön,YOL ÜSTÜ,YOL ÜSTÜ,30,07:00-00:00,BEYOĞLU,28.975060751981,41.0322512079754
Nakilbent Sokak,Nakilbent Soka,YOL ÜSTÜ,YOL ÜSTÜ,80,08:00-02:00,FATİH,28.9742909689498,41.0039627453483
Dostluk Yurdu 1,Dostluk Yurdu Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,07:00-18:00,FATİH,28.9727752057011,41.007088735229
Güvenlik Caddesi 1,Güvenlik Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-18:00,FATİH,28.9566929102633,41.00702917811
Fuat Paşa Caddesi 2,Fuat Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,07:30-18:00,FATİH,28.966008182442,41.012915690585
Fuat Paşa Caddesi 3,Fuat Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,07:30-18:00,FATİH,28.9659907739697,41.0133649365751
Ataşehir Bulvarı 15,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,ATAŞEHİR,29.1210544109344,40.9927468719206
Fevzipaşa Caddesi 9,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.948851266096,41.0181810129679
Fevzipaşa Caddesi 11,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.9476636434165,41.0193617448972
Fevzipaşa Caddesi 19,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.9443834258777,41.022743248552
Samatya Sahil,Samatya Sahi,AÇIK OTOPARK,AÇIK OTOPARK,80,12:00-22:00,FATİH,28.9327923970388,40.9989448342937
Hasanpaşa Muhtarlık Açık Otoparkı,Hasanpaşa Muhtarlık Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-22:00,KADIKÖY,29.0429124017311,40.9973787421223
Akdeniz Caddesi 4,Akdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,FATİH,28.9470128094271,41.0194602703946
Bakırköy İstanbul Caddesi 9,Bakırköy İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-19:00,BAKIRKÖY,28.8796835621833,40.9787060704662
Zeytinburnu 58. Bulvar 3,Zeytinburnu 58. Bulva,YOL ÜSTÜ,YOL ÜSTÜ,34,09:00-19:00,ZEYTİNBURNU,28.9038273488434,40.9929976511758
Bayrampaşa Numunebağı Caddesi 2,Bayrampaşa Numunebağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAYRAMPAŞA,28.914427982918,41.0321010288981
Bayrampaşa Numunebağı Caddesi 3,Bayrampaşa Numunebağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAYRAMPAŞA,28.9143639643179,41.0319549000146
Ahmet Kutsi Tecer Caddesi 1,Ahmet Kutsi Tecer Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,GÜNGÖREN,28.8870346708831,41.008730460792
Ahmet Kutsi Tecer Caddesi 13,Ahmet Kutsi Tecer Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,GÜNGÖREN,28.889037512361,41.0055722093448
Yener Sokak 1,Yener Soka,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,BEŞİKTAŞ,29.0092500399386,41.0642034983461
Sabancı Öğretmen Evi Önü 3,Sabancı Öğretmen Evi Ön,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-20:00,BEYKOZ,29.0655460030057,41.0800099578934
Yeşilköy İstasyon Caddesi 3,Yeşilköy İstasyon Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAKIRKÖY,28.8245124883387,40.9614558311587
Yeşilköy İstasyon Caddesi 10,Yeşilköy İstasyon Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAKIRKÖY,28.8237786132743,40.9603655442851
Yeşilköy İstasyon Caddesi 16,Yeşilköy İstasyon Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAKIRKÖY,28.8242237924226,40.9610007498372
Florya Havuzlu Bahçe,Florya Havuzlu Bahç,AÇIK OTOPARK,AÇIK OTOPARK,135,08:00-19:00,BAKIRKÖY,28.7908059257131,40.9764200927432
Kartal Balıkçılar Açık,Kartal Balıkçıla,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-20:00,KARTAL,29.1884276668087,40.8872483354898
Atatürk Caddesi 2,Silivri Atatürk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,09:00-23:00,SİLİVRİ,28.2435637532274,41.0736699215229
Atatürk Caddesi 6 (0-20 Dakika Ücretsiz),Silivri Atatürk Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,09:00-23:00,SİLİVRİ,28.2434785971315,41.0720742205141
Maslak P+R Yol Üstü,Maslak P+,AÇIK OTOPARK,AÇIK OTOPARK,150,24 Saat,SARIYER,29.0240957205859,41.1166408097176
Topkapı Minibüs Peronları,Topkapı Minibüs Peronlar,MİNİBÜS PARK,MİNİBÜS PARK,270,24 Saat,ZEYTİNBURNU,28.9186752225452,41.018163149964
Karaköy Katlı,Karaköy Katl,KAPALI OTOPARK,KAPALI OTOPARK,600,24 Saat,BEYOĞLU,28.9772178004034,41.0228939059538
Bakırköy İdo İskele Önü,Bakırköy İdo İskelesi Ön,AÇIK OTOPARK,AÇIK OTOPARK,300,24 Saat,BAKIRKÖY,28.8760401946348,40.9739659289559
Sanatkarlar Caddesi 1,Silivri Sanatkarlar Caddes,YOL ÜSTÜ,YOL ÜSTÜ,70,09:00-21:00,SİLİVRİ,28.2441313939182,41.0758050632096
Ortaköy Açık,Ortaköy Açı,AÇIK OTOPARK,AÇIK OTOPARK,200,24 Saat,BEŞİKTAŞ,29.0325998453266,41.0504156993832
Savaş Caddesi 3,Savaş Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,GÜNGÖREN,28.887420096957,41.0128304641926
Capitol Avm Önü Taksi Durağı,Capitol Avm Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,5,11:00-19:00,ÜSKÜDAR,29.0391826472463,41.0213193943726
Harbiye Zemin Altı Otoparkı,Harbiye Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,142,24 Saat,BEYOĞLU,28.9878819798619,41.0405398332228
Kadıköy İski Açık Otoparkı,Kadıköy İski Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,89,24 Saat,KADIKÖY,29.0208041667938,40.9873655005234
Bostancı Açık,Bostancı Açı,AÇIK OTOPARK,AÇIK OTOPARK,375,24 Saat,KADIKÖY,29.0902551716656,40.9522908984578
Bostancı Sahil-Cep Açık Otoparkı,Bostancı Sahil Ce,AÇIK OTOPARK,AÇIK OTOPARK,195,24 Saat,KADIKÖY,29.0884872903547,40.9545232644903
Pendik Katlı Otoparkı,Pendik Katl,KAPALI OTOPARK,KAPALI OTOPARK,120,24 Saat,PENDİK,29.2341819965619,40.878934879523
Ümraniye Katlı Otoparkı,Ümraniye Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,665,24 Saat,ÜMRANİYE,29.0953349757128,41.0260923032183
Haldun Alagaş Katlı Otoparkı,Haldun Alagaş Katl,KAPALI OTOPARK,KAPALI OTOPARK,240,24 Saat,ÜMRANİYE,29.1050952305836,41.0260703724597
Mevlana Yeraltı Katlı Otoparkı,Mevlana Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1000,24 Saat,ZEYTİNBURNU,28.9046359211768,41.0056588258871
Kartal Hasan Doğan Spor Kompleksi,Kartal Hasan Doğan Spor Kompleks,KAPALI OTOPARK,KAPALI OTOPARK,400,24 Saat,KARTAL,29.189911589983,40.8925343906162
Haseki Caddesi 1,Haseki Caddes,YOL ÜSTÜ,YOL ÜSTÜ,32,07:30-18:00,FATİH,28.9440397407985,41.0091178228887
Siyavuşpaşa Yer Altı Otoparkı,Siyavuşpaşa Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,155,24 Saat,BAHÇELİEVLER,28.8531558095713,40.9965135143159
Ataşehir Bulvarı Taksi Durağı,Ataşehir Bulvarı Taksi Durağ,TAKSİ PARK,TAKSİ PARK,30,08:00-16:00,ATAŞEHİR,29.1267067463254,40.9925719800085
Gençler Caddesi 2,Gençler Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-19:00,BAKIRKÖY,28.8713505624634,40.980514470877
Hacıosman Metro Yer Altı Otoparkı,Hacıosman Metro Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,422,24 Saat,SARIYER,29.0305206442078,41.1401615874359
Deniz Feneri Otoparkı,Deniz Feneri Otopark,AÇIK OTOPARK,AÇIK OTOPARK,175,24 Saat,FATİH,28.9772077552262,41.00193367086
Mete Caddesi 2,Mete Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,07:30-20:30,BEYOĞLU,28.9883966239611,41.0389534638449
Mete Caddesi 1,Mete Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,07:30-20:30,BEYOĞLU,28.9879571839367,41.038232559675
İdealtepe Açık Otoparkı,İdealtepe Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,181,08:00-01:00,MALTEPE,29.11371933097,40.9376691599546
Kadıköy Beşiktaş İskele Önü Taksi Durağı,Kadıköy Beşiktaş İskele Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,50,07:00-22:00,KADIKÖY,29.0219934735226,40.9910509487786
Veteriner Hilmi Sokak Yol Üstü 1,Veteriner Hilmi Sokak Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,ŞİŞLİ,28.9891787759174,41.060288382335
Deniz Feneri Otoparkı,Deniz Feneri Otopark,AÇIK OTOPARK,AÇIK OTOPARK,175,24 Saat,FATİH,28.976816741458,41.0012788362889
Küçükyalı P+R,Küçükyalı P+,AÇIK OTOPARK,AÇIK OTOPARK,150,07:00-18:00,MALTEPE,29.1224592977548,40.9498978996395
Harbiye Nizamiye Caddesi Yol Üstü Otoparkı 2,Harbiye Nizamiye Caddesi Yol Üstü otopark,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,ŞİŞLİ,29.0111186916334,41.0573220244955
Fişekhane Caddesi 4,Fişekhane Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,BAKIRKÖY,28.8721290488844,40.9782330778419
İstanbul Anadolu Adalet Sarayı Taksi Durağı,İstanbul Anadolu Adalet Sarayı Taksi Durağ,TAKSİ PARK,TAKSİ PARK,5,08:00-16:00,KARTAL,29.1836059462357,40.8869401912973
İtalyan Hastanesi Karşısı Açık Otoparkı 1,İtalyan Hastanesi Karşısı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,25,09:00-21:00,BEYOĞLU,28.981574177742,41.0280590630134
Çamlıbahçe,Bebek Sahil Yol,YOL ÜSTÜ,YOL ÜSTÜ,29,08:00-23:00,BEŞİKTAŞ,29.0456584096228,41.0702899418073
Rıhtım Caddesi Taksi Durağı,Rıhtım Caddesi Taksi Durağ,TAKSİ PARK,TAKSİ PARK,5,07:00-22:00,KADIKÖY,29.0244884594348,40.9917111680728
Kartal Minibüs Durakları Peronları 1,Kartal Minibüs Durakları Peronlar,MİNİBÜS PARK,MİNİBÜS PARK,700,07:00-21:00,KARTAL,29.1947171188766,40.8860832998664
Maçka Katlı Otoparkı,Maçka Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,508,24 Saat,ŞİŞLİ,28.9901946237589,41.0481455846258
Zincirlikuyu Metrobüs Taksi Durağı,Zincirlikuyu Metrobüs Taksi Durağ,TAKSİ PARK,TAKSİ PARK,10,07:00-23:00,ŞİŞLİ,29.0136209681942,41.0669377908277
Acıbadem Açık Otoparkı,Acıbadem Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,06:00-19:00,ÜSKÜDAR,29.0574914216995,41.015668454927
Belgrad Ormanı Bahçeköy Girişi Açık,Belgrad Ormanı Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,06:00-20:00,SARIYER,28.9888536930084,41.1835634907664
Kazlı Çeşme Metro Durağı Önü Taksi Durağı,Kazlıçeşme Metro Durağı Önü Taksi Durağ,TAKSİ PARK,TAKSİ PARK,20,07:00-23:00,ZEYTİNBURNU,28.9169771107005,40.9928480846644
Gülsuyu Metro Yer Altı Otoparkı,Gülsuyu Metro Yer Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,100,07:00-00:00,MALTEPE,29.1550272703171,40.9237701375712
Aslanhane Sokak 1,Aslanhane Soka,YOL ÜSTÜ,YOL ÜSTÜ,26,08:00-19:00,FATİH,28.9504868216246,41.0176966032964
Alibeyköy Cep Otogarı Otobüs Otoparkı,Alibeyköy Cep Otogarı Otobüs Otopark,AÇIK OTOPARK,AÇIK OTOPARK,5000,24 Saat,EYÜP,28.9451551437378,41.0876321246792
Ataşehir Ihlamur Sokak 1,Ataşehir Ihlamur Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,ATAŞEHİR,29.1053795814514,40.9903356345319
Darülbedai Caddesi 4,Darülbedai Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-00:00,ŞİŞLİ,28.9906085281481,41.0487105124518
Küçüksu Kasrı Açık Otoparkı,Küçüksu Kasrı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,200,07:00-23:00,BEYKOZ,29.0657499432564,41.0787506573235
Kazlıçeşme Marmaray Açık Otoparkı,Kazlıçeşme Marmaray Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,700,24 Saat,ZEYTİNBURNU,28.9165494778443,40.9922304206155
Ümraniye Dr. Fazıl Küçük Caddesi 4,Ümraniye Dr. Fazıl Küçük Caddes,YOL ÜSTÜ,YOL ÜSTÜ,24,08:00-17:00,ÜMRANİYE,29.1124142361763,41.0271515082273
Pendik Marina 2,Pendik Marin,YOL ÜSTÜ,YOL ÜSTÜ,42,07:30-19:00,PENDİK,29.2335811257362,40.8733932950085
Pendik Sahil Engelliler Merkez Önü,Pendik Sahil Engelliler Merkez Ön,AÇIK OTOPARK,AÇIK OTOPARK,100,10:00-22:00,PENDİK,29.2329454421997,40.8734074922129
Biruni Üniversitesi Açık Otoparkı,Biruni Üniversitesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,150,08:00-19:00,ZEYTİNBURNU,28.920156955719,41.0042572397972
Dalyan Açık Otoparkı,Dalyan Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,120,24 Saat,KADIKÖY,29.0644061565399,40.9635165705221
Yenikapı Marmaray Büyük Otoparkı,Yenikapı Marmaray Büyük Otopark,AÇIK OTOPARK,AÇIK OTOPARK,300,07:00-23:00,FATİH,28.9504820108414,41.0056862799103
Beyoğlu Tepebaşı Katlı Otoparkı,Beyoğlu Tepebaşı Katlı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1005,24 Saat,BEYOĞLU,28.97436439991,41.0319095316963
Süleyman Seba Caddesi 6,Süleyman Seba Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,BEŞİKTAŞ,28.9966936380404,41.0435127249054
Çekmeköy Mimar Sinan Caddesi 1,Çekmeköy Mimar Sinan Caddes,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-19:00,ÇEKMEKÖY,29.175908267498,41.0326945707175
Yeşilköy Mesleki Eğitim Okulu Kapalı Otoparkı,Yeşilköy Mesleki Eğitim Okulu Kapalı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,100,24 Saat,BAKIRKÖY,28.8230609893799,40.960958429478
Bostancı Vergi Dairesi Açık Otoparkı,Bostancı Vergi Dairesi Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,105,08:00-20:00,ATAŞEHİR,29.1079999343615,40.9625308244579
Yıldız Kavşağı Yol Üstü Otoparkı,Yıldız Kavşağı Yol Üstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,BEŞİKTAŞ,29.0072294331761,41.0503307144634
Bostancı İdo Karşısı Açık Otopark 1,Bostancı İdo Karşısı Açık Otopar,AÇIK OTOPARK,AÇIK OTOPARK,84,24 Saat,KADIKÖY,29.09525410027,40.9523911155812
Ragıp Gümüşpala Açık Otoparkı,Ragıp Gümüşpala Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,300,24 Saat,FATİH,28.9625353534806,41.0212728203281
Alibeyköy Cep Otogarı P+R,Alibeyköy Cep Otogarı P+,AÇIK OTOPARK,AÇIK OTOPARK,88,24 Saat,EYÜP,28.9423878505096,41.08823151328
Beykoz Pazar Yeri Açık Otoparkı,Beykoz Pazar Yeri Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,500,07:00-00:00,BEYKOZ,29.0859021935845,41.1400111163844
Çırpıcı Sosyal Tesisler,Çırpıcı Sosyal Tesisle,AÇIK OTOPARK,AÇIK OTOPARK,128,24 Saat,ZEYTİNBURNU,28.8925986083327,40.9999629601201
Kasımpaşa Sosyal Tesisler Otoparkı,Kasımpaşa Sosyal Tesisler Otopark,AÇIK OTOPARK,AÇIK OTOPARK,80,08:00-21:00,BEYOĞLU,28.9669297059178,41.0298538374375
Gözdağı Sosyal Tesisler  Açık Otoparkı,Gözdağı Sosyal Tesisler Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,300,07:00-22:00,PENDİK,29.2531532049179,40.8907582563051
Fatih Akşemsettin Caddesi 1,Fatih Akşemsettin Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:30-19:00,FATİH,28.9444391477412,41.0220240723353
Fatih Akşemsettin Caddesi 6,Fatih Akşemsettin Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:30-19:00,FATİH,28.9416253566742,41.0204039943667
Ressam Halim Sokak Açık Otoparkı,Ressam Halim Sokak Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,120,24 Saat,BAHÇELİEVLER,28.8639633383606,40.9968297685815
Bağcılar Emniyet Müdürlüğü Yanı Açık Otoparkı,Bağcılar Emniyet Müdürlüğü Yanı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-18:00,BAĞCILAR,28.8597932017926,41.0352735759429
Sultanbeyli Kent Meydanı Zemin Altı Otoparkı,Sultanbeyli Kent Meydanı Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,300,24 Saat,SULTANBEYLİ,29.2666420340538,40.9668422081734
Merter Metro Zeminaltı Otoparkı,Merter Metro Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,242,24 Saat,GÜNGÖREN,28.8898306516077,41.0037268780431
Şişli Zemin Altı Otoparkı,Şişli Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,581,24 Saat,ŞİŞLİ,28.9991953412736,41.0641005095347
Uzunçayır Açık Otoparkı,Uzunçayır Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,85,06:00-19:00,KADIKÖY,29.0573544076298,40.9989901689259
Pendik Sahil Açık Otoparkı,Pendik Sahil Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,400,24 Saat,PENDİK,29.2315689762902,40.872032780631
Acıbadem Açık Otoparkı,Acıbadem Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,06:00-18:00,ÜSKÜDAR,29.057554437571,41.0157867785191
Bebek Açık,Bebek Açı,AÇIK OTOPARK,AÇIK OTOPARK,35,24 Saat,BEŞİKTAŞ,29.0434456557705,41.0769661627346
Ataşehir Bulvarı 21,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,15,08:00-18:00,ATAŞEHİR,29.1271233332611,40.9917095878278
Levent Çarşı 3,Levent Çarş,YOL ÜSTÜ,YOL ÜSTÜ,23,08:00-19:00,BEŞİKTAŞ,29.0155525933482,41.0759293956722
