İLÇE ADI,MAHALLE ADI,SES SKORU,nufus,nufus_yogunlugu,maliyet,agirlikli_puan
KADIKOY,CAFERAGA,100.0,23977,19324.0,567000,0.6588047960161603
BAKIRKOY,ATAKOY7-8-9-10.KISIM,100.0,24444,11918.0,525000,0.6563363544631957
SISLI,TESVIKIYE,100.0,11522,25431.0,543000,0.6497985767145931
BEYKOZ,ACARLAR,100.0,7319,1346.0,363000,0.6439381223995999
KADIKOY,SUADIYE,100.0,22484,15157.0,567000,0.6405677850604778
KADIKOY,ERENKOY,87.5,31098,23013.0,567000,0.6364637143597893
ATASEHIR,ATATURK,87.5,30063,11843.0,486000,0.6355119429328007
BAKIRKOY,ATAKOY2-5-6.KISIM,100.0,13671,11131.0,525000,0.6191414612969135
KADIKOY,FENERYOLU,87.5,24488,24161.0,567000,0.6188997660642359
USKUDAR,ALTUNIZADE,87.5,13886,7833.0,393000,0.6146171726155096
KADIKOY,CADDEBOSTAN,100.0,18316,11012.0,567000,0.6137959858555662
KADIKOY,FENERBAHCE,100.0,17657,10440.0,567000,0.6098318662575425
BASAKSEHIR,BAHCESEHIR1.KISIM,75.0,24548,2952.0,345000,0.5987879902278718
BEYKOZ,KANLICA,87.5,4242,3215.0,363000,0.5829217085773855
BESIKTAS,MURADIYE,87.5,5048,62042.0,777000,0.5789571830478873
BEYKOZ,ANADOLUHISARI,87.5,2644,2664.0,363000,0.5760044436653156
ESENYURT,ESENKENT,62.5,10183,13117.0,246000,0.575121791335631
ZEYTINBURNU,MALTEPE,87.5,2592,807.0,360000,0.5712722157833797
BEYOGLU,CIHANGIR,87.5,3482,31069.0,582000,0.5664831306191194
SISLI,CUMHURIYET,87.5,7255,19941.0,543000,0.5612293135360789
USKUDAR,KANDILLI,87.5,1712,1399.0,393000,0.5547099022568647
BAKIRKOY,ATAKOY3-4-11.KISIM,87.5,8150,12669.0,525000,0.5491953781297891
BEYOGLU,OMERAVNI,100.0,2092,8836.0,582000,0.5474777692377866
BAKIRKOY,SENLIKKOY,75.0,28206,9388.0,525000,0.5459969200317333
BAKIRKOY,YESILYURT,87.5,7816,11333.0,525000,0.5438137702382067
BEYOGLU,GUMUSSUYU,100.0,2109,6215.0,582000,0.5390826772849302
SISLI,HALASKARGAZI,87.5,1691,16748.0,543000,0.5330355890525003
KADIKOY,ZUHTUPASA,87.5,8095,12188.0,567000,0.5275625399615382
SISLI,MESRUTIYET,75.0,7922,26446.0,543000,0.5272035768740109
KADIKOY,KOSUYOLU,87.5,7839,11217.0,567000,0.5236085802494495
SISLI,KAPTANPASA,87.5,3312,10690.0,543000,0.5187202417746001
UMRANIYE,FATIHSULTANMEHMET,75.0,3976,955.0,372000,0.5133717401151097
SISLI,ESENTEPE,87.5,7056,4514.0,543000,0.5108543572966302
SISLI,ERGENEKON,75.0,2684,26103.0,543000,0.5092466738386734
UMRANIYE,SARAY,75.0,2307,1287.0,372000,0.5090727455494151
BEYOGLU,KULOGLU,87.5,1463,13778.0,582000,0.5042437647423975
BESIKTAS,NISBETIYE,100.0,12435,12153.0,777000,0.49902866207857877
BESIKTAS,ABBASAGA,87.5,5288,36746.0,777000,0.49817808363683147
BEYOGLU,KILICALIPASA,87.5,2476,10321.0,582000,0.49635773216682555
BAKIRKOY,ATAKOY1.KISIM,87.5,1667,2622.0,525000,0.495948693506206
SISLI,HARBIYE,87.5,2504,3247.0,543000,0.4921255147888847
BESIKTAS,ETILER,100.0,12023,9854.0,777000,0.4902915273671404
BESIKTAS,KONAKLAR,100.0,15350,5864.0,777000,0.48813151253455833
BESIKTAS,GAYRETTEPE,87.5,14530,24288.0,777000,0.48774735810214637
KUCUKCEKMECE,BESYOL,50.0,4092,13817.0,315000,0.4679389363378963
BEYKOZ,GOKSU,62.5,2830,3851.0,363000,0.46614385035145445
BESIKTAS,LEVAZIM,100.0,6142,8119.0,777000,0.4657783987541063
SISLI,HALILRIFATPASA,75.0,4566,10724.0,543000,0.4657212262896444
BESIKTAS,ARNAVUTKOY,100.0,3933,8756.0,777000,0.46072545861657827
BESIKTAS,KULTUR,100.0,4925,6826.0,777000,0.4576947278435799
ZEYTINBURNU,KAZLICESME,62.5,2078,973.0,360000,0.4558680812962747
BESIKTAS,BEBEK,100.0,5891,4880.0,777000,0.4545287707147607
BESIKTAS,LEVENT,100.0,3145,2956.0,777000,0.43949190385942505
FATIH,BINBIRDIREK,50.0,1671,10557.0,348000,0.43400071293254994
BEYOGLU,SAHKULU,75.0,840,10112.0,582000,0.43327792676830235
TUZLA,FATIH,50.0,1045,377.0,294000,0.4247601610002097
BEYOGLU,MUEYYETZADE,75.0,518,7146.0,582000,0.42268000390706967
BESIKTAS,CIHANNUMA,87.5,3898,13965.0,777000,0.4202631803385306
BEYOGLU,BEREKETZADE,75.0,405,5520.0,582000,0.41707444829950563
SARIYER,ZEKERIYAKOY,87.5,18867,1623.0,819000,0.4087254810241623
SILE,KUMBABA,50.0,741,407.0,327000,0.4082390717833956
FATIH,SULEYMANIYE,50.0,709,2457.0,348000,0.40479246681092873
FATIH,EMINSINAN,37.5,1225,18549.0,348000,0.4011882615979933
BESIKTAS,YILDIZ,87.5,6232,5581.0,777000,0.4007428789863425
BEYKOZ,GORELE,50.0,2020,611.0,363000,0.3959497884415857
SARIYER,DARUSSAFAKA,87.5,9458,6607.0,819000,0.3945236935389698
BESIKTAS,BALMUMCU,87.5,3889,5988.0,777000,0.3945173571142464
BESIKTAS,KURUCESME,87.5,3082,3412.0,777000,0.3836164581585812
FATIH,KALENDERHANE,37.5,1673,12590.0,348000,0.38341843256981395
SARIYER,MASLAK,87.5,8091,1328.0,819000,0.3731070842342568
SARIYER,USKUMRUKOY,87.5,8178,488.0,819000,0.37067891403970094
SILE,HACIKASIM,37.5,944,4181.0,327000,0.36391619676823955
BESIKTAS,SINANPASA,75.0,2534,14670.0,777000,0.3610050470714133
BEYOGLU,ASMALIMESCIT,62.5,463,5375.0,582000,0.35965072011682786
CEKMEKOY,SIRAPINAR,37.5,885,97.2,312000,0.3576697230261742
ARNAVUTKOY,YESILBAYIR,25.0,600,42.3,201000,0.3520396396736156
FATIH,KEMALPASA,37.5,618,3433.0,348000,0.35050335882211936
FATIH,ALEMDAR,37.5,488,3489.0,348000,0.35026567435921796
CATALCA,AKALAN,25.0,1085,65.1,213000,0.3479862285363472
FATIH,TAYAHATUN,37.5,131,2551.0,348000,0.34609317659190597
FATIH,BALABANAGA,37.5,146,1284.0,348000,0.34205678035877124
BEYKOZ,AKBABA,37.5,2726,593.0,363000,0.34102016646634287
FATIH,MERCAN,37.5,48,581.0,348000,0.3394751198598664
FATIH,TAHTAKALE,37.5,24,510.0,348000,0.3391690144295249
FATIH,SURURI,37.5,30,477.0,348000,0.3390819290128655
FATIH,RUSTEMPASA,37.5,25,242.0,348000,0.33830823239559726
FATIH,SARIDEMIR,37.5,14,132.0,348000,0.3379182179088902
BEYKOZ,RIVA,37.5,2237,99.2,363000,0.3378550592353468
BEYKOZ,KAYNARCA,37.5,627,111.0,363000,0.3327135874116657
BEYKOZ,POLONEZKOY,37.5,377,12.8,363000,0.33159273036392073
BEYOGLU,KATIPMUSTAFACELEBI,50.0,834,9670.0,582000,0.3175479561698629
SILIVRI,FEVZIPASA,12.5,3127,246.0,186000,0.3107920754332798
SILIVRI,ISMETPASA,12.5,3027,84.1,186000,0.30994842077658785
PENDIK,BALLICA,25.0,400,17.6,294000,0.307240762684259
PENDIK,EMIRLI,25.0,256,20.9,294000,0.306788140637841
SILIVRI,HURRIYET,12.5,1790,295.0,186000,0.3066487971916048
SILIVRI,FENER,12.5,1528,39.8,186000,0.30498318633369914
SILIVRI,KADIKOY,12.5,1483,71.8,186000,0.30494158139510275
SILIVRI,BEYCILER,12.5,1434,51.2,186000,0.30471753215249947
SILIVRI,GAZITEPE,12.5,1293,72.3,186000,0.30433194639
SILIVRI,AKOREN,12.5,1274,28.4,186000,0.3041292934810551
SILIVRI,CAYIRDERE,12.5,1204,20.2,186000,0.3038776614445501
SILIVRI,BUYUKKILICLI,12.5,1159,50.8,186000,0.30383154307769866
SILIVRI,DANAMANDIRA,12.5,1109,28.4,186000,0.3035984737667326
SILIVRI,SEYMEN,12.5,1032,20.4,186000,0.3033249668814486
SILIVRI,CELTIK,12.5,1011,30.4,186000,0.30328964678196685
SILIVRI,ALIPASA,12.5,954,27.7,186000,0.30309756823005973
SILIVRI,SAYALAR,12.5,784,18.2,186000,0.302520036235261
SILIVRI,KURFALLI,12.5,463,12.4,186000,0.3014686521207303
SARIYER,RUMELIFENERI,75.0,4550,360.0,819000,0.30145180106250197
SILIVRI,YOLCATI,12.5,373,33.8,186000,0.3012481050694917
SILIVRI,BUYUKSINEKLI,12.5,338,20.6,186000,0.3010929517675815
SILIVRI,KUCUKKILICLI,12.5,275,28.0,186000,0.30091413184159077
SILIVRI,BEKIRLI,12.5,201,12.9,186000,0.3006273866948323
SILIVRI,KUCUKSINEKLI,12.5,156,27.3,186000,0.30052904151531556
SARIYER,MERKEZ,62.5,12750,9185.0,819000,0.299139792570185
ARNAVUTKOY,KARABURUN,12.5,1521,202.0,201000,0.2983745748722369
ARNAVUTKOY,SAZLIBOSNA,12.5,1149,67.1,201000,0.2967429166469828
CATALCA,CANAKCA,12.5,2598,208.0,213000,0.2961715193891137
ARNAVUTKOY,TERKOS,12.5,935,61.9,201000,0.2960376954008624
ARNAVUTKOY,BAKLALI,12.5,825,46.9,201000,0.29563545743143876
FATIH,SULTANAHMET,25.0,783,3844.0,348000,0.29521633497416794
ARNAVUTKOY,BOYALIK,12.5,674,24.8,201000,0.2950784292767213
ARNAVUTKOY,YASSIOREN,12.5,561,13.7,201000,0.2946791131613321
ARNAVUTKOY,HACIMASLI,12.5,551,19.3,201000,0.2946649959825751
ARNAVUTKOY,DURSUNKOY,12.5,464,17.6,201000,0.29437962863266165
ARNAVUTKOY,BALABAN,12.5,413,13.8,201000,0.29420330635076325
CATALCA,GOKCEALI,12.5,1812,198.0,213000,0.2936106485221818
CATALCA,CIFTLIKKOY,12.5,1872,75.8,213000,0.2934097160637271
CATALCA,KABAKCA,12.5,1624,76.3,213000,0.292613489886317
CATALCA,IHSANIYE,12.5,1641,49.5,213000,0.2925817804900276
SILE,GEREDELI,25.0,574,27.1,327000,0.2921913526092283
CATALCA,SUBASI,12.5,1444,77.4,213000,0.29203796009938643
CATALCA,YALIKOY,12.5,1469,18.1,213000,0.2919272114034555
CATALCA,MURATBEYMERKEZ,12.5,1409,76.2,213000,0.2919214933253765
SILE,BUCAKLI,25.0,305,19.1,327000,0.29130016460182356
SILE,IMRENDERE,25.0,264,26.1,327000,0.29119083108681254
CATALCA,HALLACLI,12.5,1213,34.9,213000,0.2911577977130216
CATALCA,OVAYENICE,12.5,1172,58.6,213000,0.29110230294933837
SILE,KALEM,25.0,219,11.2,327000,0.2909980263016727
CATALCA,ATATURK,12.5,1127,32.3,213000,0.2908727459626933
SILE,YESILVADI,25.0,146,9.1,327000,0.2907564086493172
FATIH,MIMARKEMALETTIN,25.0,411,2786.0,348000,0.2906087155901879
CATALCA,GUMUSPINAR,12.5,851,35.4,213000,0.28999482336935234
CATALCA,AYDINLAR,12.5,829,23.5,213000,0.28988568326727493
CATALCA,NAKKAS,12.5,818,17.5,213000,0.28983095202236997
CATALCA,ORENCIK,12.5,790,33.9,213000,0.2897937451135244
CATALCA,KALFA,12.5,776,29.9,213000,0.2897358103557363
CATALCA,INCEGIZ,12.5,772,31.0,213000,0.289726488264083
CATALCA,DAGYENICE,12.5,713,32.3,213000,0.28954087104312054
FATIH,MESIHPASA,25.0,206,2635.0,348000,0.28946240683267893
CATALCA,ORCUNLU,12.5,561,43.7,213000,0.2890886256896135
CATALCA,ELBASAN,12.5,563,35.1,213000,0.2890673345229738
CATALCA,BASAK,12.5,386,32.0,213000,0.2884879157188112
CATALCA,HISARBEYLI,12.5,369,40.3,213000,0.2884599833845877
CATALCA,YAZLIK,12.5,356,19.6,213000,0.2883514269646496
CATALCA,BELGRAT,12.5,358,13.1,213000,0.28833690594039235
CATALCA,CELEPKOY,12.5,239,12.2,213000,0.2879511708386521
CATALCA,KIZILCAALI,12.5,220,18.6,213000,0.28791067895915573
CATALCA,YAYLACIK,12.5,58,11.7,213000,0.28736726575882376
FATIH,HOCAPASA,25.0,360,1178.0,348000,0.2852606493034924
FATIH,BEYAZIT,25.0,114,1027.0,348000,0.2839824398896972
FATIH,MOLLAFENARI,25.0,135,902.0,348000,0.28364701409680165
BEYKOZ,ANADOLUKAVAGI,25.0,2104,401.0,363000,0.281257295408545
BEYKOZ,CUMHURIYET,25.0,1966,186.0,363000,0.28012020347714145
BEYKOZ,ZERZAVATCI,25.0,980,278.0,363000,0.2772447502618193
BEYKOZ,PASAMANDIRA,25.0,1055,87.4,363000,0.27687156093199883
BEYKOZ,ANADOLUFENERI,25.0,750,44.2,363000,0.2757510772323558
BEYKOZ,GOLLU,25.0,243,16.6,363000,0.27403103400508527
TUZLA,ANADOLU,12.5,905,667.0,294000,0.2538161215110144
PENDIK,KURTDOGMUS,12.5,441,17.2,294000,0.250228516646758
BEYOGLU,HUSEYINAGA,37.5,368,5770.0,582000,0.24633281390261386
CEKMEKOY,KOCULLU,12.5,1365,122.0,312000,0.2450081637034222
CEKMEKOY,HUSEYINLI,12.5,771,59.1,312000,0.24289443084811752
BEYOGLU,EVLIYACELEBI,37.5,283,4451.0,582000,0.24180706713080696
SILE,MESRUTIYET,12.5,1636,505.0,327000,0.24000573514672835
SILE,CAYIRBASI,12.5,994,244.0,327000,0.237098931912807
SILE,DOGANCILI,12.5,756,48.9,327000,0.23570428622240014
SILE,SAHILKOY,12.5,766,38.5,327000,0.23570292878999707
SILE,KABAKOZ,12.5,522,27.9,327000,0.23488378593099013
SILE,ALACALI,12.5,515,29.6,327000,0.23486674689819867
SILE,KIZILCA,12.5,496,21.5,327000,0.2347795087974895
SILE,TEKE,12.5,499,13.9,327000,0.23476465859735246
SILE,DEGIRMENCAYIRI,12.5,455,49.7,327000,0.23473852148176885
SILE,AKCAKESE,12.5,388,51.0,327000,0.23452716754738467
SILE,YENIKOY,12.5,412,18.7,327000,0.2345002464500516
SILE,SATMAZLI,12.5,355,42.8,327000,0.234394567810455
SILE,UVEZLI,12.5,337,21.1,327000,0.23426670206730327
SILE,KARAMANDERE,12.5,324,28.2,327000,0.23424776943700065
SILE,ORUCOGLU,12.5,334,15.1,327000,0.23423770753582002
SILE,GOKSU,12.5,306,13.4,327000,0.23414214844739153
SILE,KARACAKOY,12.5,269,34.7,327000,0.23409178473483913
SILE,KARAKIRAZ,12.5,289,13.9,327000,0.23408906987003295
SILE,KURFALLI,12.5,247,51.8,327000,0.2340761370751873
SILE,BICKIDERE,12.5,265,27.4,327000,0.23405538207365562
SILE,IMRENLI,12.5,260,29.8,327000,0.2340470339333471
SILE,SOFULAR,12.5,272,17.2,327000,0.2340450181491844
SILE,KERVANSARAY,12.5,278,7.2,327000,0.23403208191100047
SILE,OSMANKOY,12.5,257,23.8,327000,0.23401803940186386
SILE,HACILLI,12.5,241,15.9,327000,0.2339410973441528
SILE,SUAYIPLI,12.5,231,22.1,327000,0.23392891449179082
SILE,YAZIMANAYIR,12.5,221,16.6,327000,0.23387901227472607
SILE,HASANLI,12.5,215,18.1,327000,0.23386454555564734
SILE,KOMURLUK,12.5,211,18.9,327000,0.2338542563007965
SILE,KORUCU,12.5,205,24.2,327000,0.23385204031555284
SILE,CATAKLI,12.5,216,11.7,327000,0.23384712982994493
SILE,GOKMASLI,12.5,188,36.2,327000,0.23383603632743197
SILE,KARABEYLI,12.5,207,17.0,327000,0.2338352625771681
SILE,YAKA,12.5,208,10.6,327000,0.2338178468514657
SILE,ULUPELIT,12.5,202,14.3,327000,0.23381047266250202
SILE,KADIKOY,12.5,159,47.6,327000,0.23377949294278355
SILE,SOGULLU,12.5,189,10.9,327000,0.23375768932028668
SILE,CENGILLI,12.5,185,13.2,327000,0.23375223588142338
SILE,OVACIK,12.5,148,18.3,327000,0.23364964535620564
SILE,CELEBI,12.5,144,17.3,327000,0.23363355312216977
SILE,KURNA,12.5,146,11.0,327000,0.23361967687337756
SILE,ISAKOY,12.5,122,27.8,327000,0.2335966278721728
SILE,AVCIKORU,12.5,130,6.5,327000,0.2335536959985716
SILE,ERENLER,12.5,121,11.0,327000,0.23353924964393477
SILE,SORTULLU,12.5,113,17.0,327000,0.23353285619446318
SILE,BOZGOCA,12.5,92,22.5,327000,0.23348302864701884
SILE,DARLIK,12.5,104,5.9,327000,0.23346811735355605
SILE,AGACDERE,12.5,90,13.2,327000,0.23344661240954073
SILE,ESENCELI,12.5,74,4.9,327000,0.23336838080089967
SILE,YAYLALI,12.5,58,7.6,327000,0.23332561184283385
BEYOGLU,EMEKYEMEZ,37.5,121,1947.0,582000,0.23321330986216743
MALTEPE,BUYUKBAKKALKOY,12.5,7779,359.0,390000,0.229439807970747
BASAKSEHIR,SAMLAR,12.5,1269,179.0,345000,0.2292432737233477
FATIH,HOBYAR,12.5,82,407.0,348000,0.22473783195164085
EYUPSULTAN,ODAYERI,25.0,195,23.6,471000,0.22271434674260748
BEYKOZ,ISHAKLI,12.5,1283,104.0,363000,0.22051571648525536
BEYKOZ,POYRAZKOY,12.5,923,108.0,363000,0.21937045989057913
BEYKOZ,ALIBAHADIR,12.5,764,68.0,363000,0.2187299876183221
BEYKOZ,KILICLI,12.5,545,33.3,363000,0.21791357654522497
BEYKOZ,OGUMCE,12.5,477,44.9,363000,0.2177322114581108
BEYKOZ,BOZHANE,12.5,475,33.3,363000,0.21768838030278514
SARIYER,KUMKOY,50.0,3331,964.0,819000,0.18519167697346886
BEYOGLU,BEDRETTIN,25.0,752,3111.0,582000,0.1818530291967699
BEYOGLU,KEMANKESKARAMUSTAFAPASA,25.0,128,905.0,582000,0.1727336921708834
EYUPSULTAN,AKPINAR,12.5,2275,82.9,471000,0.172454211014765
BEYOGLU,ARAPCAMI,25.0,91,583.0,582000,0.17157657137265162
EYUPSULTAN,AGACLI,12.5,671,42.8,471000,0.16716472249298164
EYUPSULTAN,ISIKLAR,12.5,569,52.8,471000,0.1668688181701052
EYUPSULTAN,IHSANIYE,12.5,160,32.3,471000,0.1654869392112581
EYUPSULTAN,CIFTALAN,12.5,149,8.1,471000,0.16537353339903776
SARIYER,GARIPCE,37.5,393,100.0,819000,0.11581158181767653
SARIYER,KISIRKAYA,12.5,333,33.3,819000,0.001117809563720699
