ilce,mahalle,nufus_yogunlugu,nufus,yuzolcumu,maliyet
ARNAVUTKOY,ANADOLU,21607.0,33177,1.5,201000
ARNAVUTKOY,YUNUS EMRE,14919.0,16085,1.1,201000
ARNAVUTKOY,BOGAZKOY ATATURK,11965.0,7726,0.65,201000
ARNAVUTKOY,ARNAVUTKOY ISLAMBEY,11923.0,18832,1.6,201000
ARNAVUTKOY,MUSTAFA KEMAL PASA,9630.0,12585,1.3,201000
ARNAVUTKOY,NENEHATUN,6756.0,8344,1.2,201000
ARNAVUTKOY,KARLIBAYIR,6491.0,8308,1.3,201000
ARNAVUTKOY,ARNAVUTKOY YAVUZSELIM,5460.0,11217,2.1,201000
ARNAVUTKOY,MAVIGOL,4782.0,7412,1.6,201000
ARNAVUTKOY,TASOLUK,3694.0,5816,1.6,201000
ARNAVUTKOY,HICRET,3155.0,3086,0.98,201000
ARNAVUTKOY,TASOLUK MEHMET AKIF ERSOY,3023.0,6349,2.1,201000
ARNAVUTKOY,ARNAVUTKOY MERKEZ,2771.0,18695,6.7,201000
ARNAVUTKOY,DURUSU ZAFER,2248.0,792,0.35,201000
ARNAVUTKOY,HADIMKOY,2146.0,21598,10.1,201000
ARNAVUTKOY,TASOLUK M. FEVZI CAKMAK,1804.0,4611,2.6,201000
ARNAVUTKOY,TASOLUK ADNAN MENDERES,1757.0,3996,2.3,201000
ARNAVUTKOY,HASTANE,1446.0,8205,5.7,201000
ARNAVUTKOY,TASOLUK FATIH,991.0,2484,2.5,201000
ARNAVUTKOY,HARACCI,954.0,8297,8.7,201000
ARNAVUTKOY,DELIKLIKAYA,847.0,4857,5.7,201000
ARNAVUTKOY,OMERLI,633.0,6818,10.8,201000
ARNAVUTKOY,BOLLUCA MERKEZ,579.0,6984,12.1,201000
ARNAVUTKOY,BOGAZKOY ISTIKLAL,337.0,9925,29.4,201000
ARNAVUTKOY,ARNAVUTKOY IMRAHOR,302.0,10052,33.2,201000
ARNAVUTKOY,KARABURUN,202.0,1521,7.5,201000
ARNAVUTKOY,TAYAKADIN,149.0,5242,35.3,201000
ARNAVUTKOY,TASOLUK CILINGIR,89.5,1072,12.0,201000
ARNAVUTKOY,SAZLIBOSNA,67.1,1149,17.1,201000
ARNAVUTKOY,TERKOS,61.9,935,15.1,201000
ARNAVUTKOY,BAKLALI,46.9,825,17.6,201000
ARNAVUTKOY,YENIKOY,44.3,1397,31.5,201000
ARNAVUTKOY,YESILBAYIR,42.3,600,14.2,201000
ARNAVUTKOY,BOYALIK,24.8,674,27.1,201000
ARNAVUTKOY,HACIMASLI,19.3,551,28.6,201000
ARNAVUTKOY,DURSUNKOY,17.6,464,26.4,201000
ARNAVUTKOY,BALABAN,13.8,413,29.8,201000
ARNAVUTKOY,YASSIOREN,13.7,561,41.1,201000
ATASEHIR,ASIKVEYSEL,31612.0,13225,0.42,486000
ATASEHIR,FETIH,29144.0,12218,0.42,486000
ATASEHIR,ORNEK,28712.0,27615,0.96,486000
ATASEHIR,ESATPASA,27272.0,26866,0.99,486000
ATASEHIR,MUSTAFA KEMAL,24979.0,15033,0.6,486000
ATASEHIR,MEVLANA,23601.0,18832,0.8,486000
ATASEHIR,INONU,22867.0,28456,1.2,486000
ATASEHIR,KAYISDAGI,22630.0,41757,1.8,486000
ATASEHIR,MIMARSINAN,21210.0,10637,0.5,486000
ATASEHIR,ICERENKOY,21205.0,76344,3.6,486000
ATASEHIR,YENICAMLICA,19142.0,14109,0.74,486000
ATASEHIR,YENISAHRA,16164.0,11428,0.71,486000
ATASEHIR,YENISEHIR,15932.0,13016,0.82,486000
ATASEHIR,KUCUKBAKKALKOY,12777.0,29032,2.3,486000
ATASEHIR,ATATURK,11843.0,30063,2.5,486000
ATASEHIR,BARBAROS,11065.0,32487,2.9,486000
ATASEHIR,FERHATPASA,5825.0,22254,3.8,486000
AVCILAR,MUSTAFA KEMAL PASA,50617.0,47027,0.93,252000
AVCILAR,MERKEZ,37079.0,31820,0.86,252000
AVCILAR,GUMUSPALA,35971.0,41317,1.1,252000
AVCILAR,DENIZKOSKLER,27287.0,45942,1.7,252000
AVCILAR,AMBARLI,21054.0,38318,1.8,252000
AVCILAR,CIHANGIR,16300.0,62149,3.8,252000
AVCILAR,YESILKENT,14168.0,71783,5.1,252000
AVCILAR,UNIVERSITE,7623.0,21621,2.8,252000
AVCILAR,TAHTAKALE,4657.0,53209,11.4,252000
AVCILAR,FIRUZKOY,1800.0,22496,12.5,252000
BAGCILAR,YENIGUN,84843.0,23112,0.27,315000
BAGCILAR,FATIH,68402.0,45242,0.66,315000
BAGCILAR,YILDIZTEPE,66463.0,40160,0.6,315000
BAGCILAR,CINAR,66380.0,36588,0.55,315000
BAGCILAR,KEMALPASA,60866.0,34581,0.57,315000
BAGCILAR,KÂZIM KARABEKIR,57400.0,28688,0.5,315000
BAGCILAR,DEMIRKAPI,51597.0,55446,1.1,315000
BAGCILAR,BARBAROS,50038.0,21929,0.44,315000
BAGCILAR,INONU,49562.0,24735,0.5,315000
BAGCILAR,SANCAKTEPE,49289.0,19528,0.4,315000
BAGCILAR,FEVZI CAKMAK,48158.0,35448,0.74,315000
BAGCILAR,KIRAZLI,46122.0,43390,0.94,315000
BAGCILAR,YENIMAHALLE,44992.0,34907,0.78,315000
BAGCILAR,YAVUZSELIM,44894.0,28833,0.64,315000
BAGCILAR,HURRIYET,43222.0,25196,0.58,315000
BAGCILAR,GUNESLI,38177.0,46831,1.2,315000
BAGCILAR,YUZUNCU YIL,37356.0,49136,1.3,315000
BAGCILAR,MERKEZ,30484.0,26146,0.86,315000
BAGCILAR,15 TEMMUZ,26817.0,50755,1.9,315000
BAGCILAR,GOZTEPE,23064.0,37553,1.6,315000
BAGCILAR,BAGLAR,11425.0,15683,1.4,315000
BAGCILAR,MAHMUTBEY,5225.0,24596,4.7,315000
BAHCELIEVLER,HURRIYET,82759.0,47377,0.57,264000
BAHCELIEVLER,SIYAVUSPASA,81140.0,65868,0.81,264000
BAHCELIEVLER,ZAFER,78772.0,85464,1.1,264000
BAHCELIEVLER,SOGANLI,74494.0,71388,0.96,264000
BAHCELIEVLER,CUMHURIYET,59967.0,41720,0.7,264000
BAHCELIEVLER,SIRINEVLER,52796.0,57641,1.1,264000
BAHCELIEVLER,FEVZI CAKMAK,49501.0,26191,0.53,264000
BAHCELIEVLER,KOCASINAN,36835.0,72738,2.0,264000
BAHCELIEVLER,COBANCESME,26433.0,33552,1.3,264000
BAHCELIEVLER,BAHCELIEVLER,19452.0,61832,3.2,264000
BAHCELIEVLER,YENIBOSNA,7805.0,34683,4.4,264000
BAKIRKOY,YENIMAHALLE,29809.0,6953,0.23,525000
BAKIRKOY,CEVIZLIK,28679.0,5363,0.19,525000
BAKIRKOY,KARTALTEPE,28268.0,37778,1.3,525000
BAKIRKOY,SAKIZAGACI,21258.0,8137,0.38,525000
BAKIRKOY,ZEYTINLIK,18610.0,5376,0.29,525000
BAKIRKOY,ATAKOY 3-4-11. KISIM,12669.0,8150,0.64,525000
BAKIRKOY,ATAKOY 7-8-9-10. KISIM,11918.0,24444,2.1,525000
BAKIRKOY,ZUHURATBABA,11368.0,20966,1.8,525000
BAKIRKOY,YESILYURT,11333.0,7816,0.69,525000
BAKIRKOY,ATAKOY 2-5-6. KISIM,11131.0,13671,1.2,525000
BAKIRKOY,OSMANIYE,10086.0,24126,2.4,525000
BAKIRKOY,SENLIKKOY,9388.0,28206,3.0,525000
BAKIRKOY,BASINKOY,3814.0,5932,1.6,525000
BAKIRKOY,ATAKOY 1. KISIM,2622.0,1667,0.64,525000
BAKIRKOY,YESILKOY,1794.0,23785,13.3,525000
BASAKSEHIR,ALTINSEHIR,10911.0,14859,1.4,345000
BASAKSEHIR,GUVERCINTEPE,9414.0,55783,5.9,345000
BASAKSEHIR,BASAKSEHIR,7185.0,58445,8.1,345000
BASAKSEHIR,BASAK,5851.0,70258,12.0,345000
BASAKSEHIR,KAYABASI,5408.0,74815,13.8,345000
BASAKSEHIR,BAHCESEHIR 2. KISIM,4770.0,41437,8.7,345000
BASAKSEHIR,BAHCESEHIR 1. KISIM,2952.0,24548,8.3,345000
BASAKSEHIR,SAHINTEPE,2951.0,34138,11.6,345000
BASAKSEHIR,ZIYA GOKALP,1443.0,21113,14.6,345000
BASAKSEHIR,SAMLAR,179.0,1269,7.1,345000
BAYRAMPASA,KARTALTEPE,52713.0,44460,0.84,300000
BAYRAMPASA,VATAN,44120.0,10015,0.23,300000
BAYRAMPASA,MURATPASA,42019.0,33908,0.81,300000
BAYRAMPASA,YILDIRIM,35666.0,53027,1.5,300000
BAYRAMPASA,CEVATPASA,32398.0,19093,0.59,300000
BAYRAMPASA,TERAZIDERE,31994.0,15723,0.49,300000
BAYRAMPASA,ISMETPASA,28663.0,14605,0.51,300000
BAYRAMPASA,YENIDOGAN,22331.0,18696,0.84,300000
BAYRAMPASA,ALTINTEPSI,22260.0,28293,1.3,300000
BAYRAMPASA,ORTA,18332.0,14929,0.81,300000
BAYRAMPASA,KOCATEPE,12394.0,21448,1.7,300000
BESIKTAS,MURADIYE,62042.0,5048,0.081,777000
BESIKTAS,TURKALI,43960.0,10346,0.24,777000
BESIKTAS,ABBASAGA,36746.0,5288,0.14,777000
BESIKTAS,DIKILITAS,26466.0,16893,0.64,777000
BESIKTAS,GAYRETTEPE,24288.0,14530,0.6,777000
BESIKTAS,MECIDIYE,21967.0,10766,0.49,777000
BESIKTAS,SINANPASA,14670.0,2534,0.17,777000
BESIKTAS,ULUS,14273.0,7159,0.5,777000
BESIKTAS,CIHANNUMA,13965.0,3898,0.28,777000
BESIKTAS,NISBETIYE,12153.0,12435,1.0,777000
BESIKTAS,AKATLAR,10356.0,15624,1.5,777000
BESIKTAS,VISNEZADE,10244.0,6758,0.66,777000
BESIKTAS,ORTAKOY,9867.0,9556,0.97,777000
BESIKTAS,ETILER,9854.0,12023,1.2,777000
BESIKTAS,ARNAVUTKOY,8756.0,3933,0.45,777000
BESIKTAS,LEVAZIM,8119.0,6142,0.76,777000
BESIKTAS,KULTUR,6826.0,4925,0.72,777000
BESIKTAS,BALMUMCU,5988.0,3889,0.65,777000
BESIKTAS,KONAKLAR,5864.0,15350,2.6,777000
BESIKTAS,YILDIZ,5581.0,6232,1.1,777000
BESIKTAS,BEBEK,4880.0,5891,1.2,777000
BESIKTAS,KURUCESME,3412.0,3082,0.9,777000
BESIKTAS,LEVENT,2956.0,3145,1.1,777000
BEYKOZ,KAVACIK,13862.0,22371,1.6,363000
BEYKOZ,CIGDEM,13116.0,11619,0.89,363000
BEYKOZ,CAMLIBAHCE,12811.0,6405,0.5,363000
BEYKOZ,SOGUKSU,11901.0,11133,0.94,363000
BEYKOZ,ORTACESME,9766.0,8065,0.83,363000
BEYKOZ,INCIRKOY,9184.0,18130,2.0,363000
BEYKOZ,CUBUKLU,8977.0,21051,2.3,363000
BEYKOZ,YENIMAHALLE,7956.0,19458,2.4,363000
BEYKOZ,PASABAHCE,6923.0,3894,0.56,363000
BEYKOZ,GUMUSSUYU,5776.0,14232,2.5,363000
BEYKOZ,YALIKOY,5405.0,5471,1.0,363000
BEYKOZ,TOKATKOY,3867.0,15449,4.0,363000
BEYKOZ,GOKSU,3851.0,2830,0.73,363000
BEYKOZ,GOZTEPE,3827.0,10016,2.6,363000
BEYKOZ,KANLICA,3215.0,4242,1.3,363000
BEYKOZ,ANADOLUHISARI,2664.0,2644,0.99,363000
BEYKOZ,RUZGARLIBAHCE,2331.0,8011,3.4,363000
BEYKOZ,MERKEZ,1693.0,6064,3.6,363000
BEYKOZ,ACARLAR,1346.0,7319,5.4,363000
BEYKOZ,CIFTLIK,1311.0,5358,4.1,363000
BEYKOZ,FATIH,1205.0,4342,3.6,363000
BEYKOZ,ORNEKKOY,1083.0,3982,3.7,363000
BEYKOZ,CENGELDERE,1038.0,5005,4.8,363000
BEYKOZ,ELMALI,685.0,2989,4.4,363000
BEYKOZ,GORELE,611.0,2020,3.3,363000
BEYKOZ,AKBABA,593.0,2726,4.6,363000
BEYKOZ,ANADOLUKAVAGI,401.0,2104,5.2,363000
BEYKOZ,YAVUZ SELIM,374.0,5072,13.5,363000
BEYKOZ,ZERZAVATCI,278.0,980,3.5,363000
BEYKOZ,BAKLACI,260.0,3062,11.8,363000
BEYKOZ,CUMHURIYET,186.0,1966,10.6,363000
BEYKOZ,DERESEKI,176.0,1513,8.6,363000
BEYKOZ,MAHMUTSEVKETPASA,112.0,1808,16.1,363000
BEYKOZ,KAYNARCA,111.0,627,5.7,363000
BEYKOZ,POYRAZKOY,108.0,923,8.6,363000
BEYKOZ,ISHAKLI,104.0,1283,12.4,363000
BEYKOZ,RIVA,99.2,2237,22.5,363000
BEYKOZ,PASAMANDIRA,87.4,1055,12.1,363000
BEYKOZ,ALIBAHADIR,68.0,764,11.2,363000
BEYKOZ,OGUMCE,44.9,477,10.6,363000
BEYKOZ,ANADOLUFENERI,44.2,750,17.0,363000
BEYKOZ,KILICLI,33.3,545,16.4,363000
BEYKOZ,BOZHANE,33.3,475,14.3,363000
BEYKOZ,GOLLU,16.6,243,14.7,363000
BEYKOZ,POLONEZKOY,12.8,377,29.4,363000
BEYLIKDUZU,BUYUKSEHIR,21693.0,20795,0.96,291000
BEYLIKDUZU,BARIS,20286.0,51900,2.6,291000
BEYLIKDUZU,ADNAN KAHVECI,18865.0,86584,4.6,291000
BEYLIKDUZU,CUMHURIYET,17975.0,21674,1.2,291000
BEYLIKDUZU,GURPINAR,7737.0,19557,2.5,291000
BEYLIKDUZU,YAKUPLU,5986.0,43962,7.3,291000
BEYLIKDUZU,KAVAKLI,5232.0,27566,5.3,291000
BEYLIKDUZU,MARMARA,4790.0,26537,5.5,291000
BEYLIKDUZU,SAHIL,2894.0,4443,1.5,291000
BEYLIKDUZU,DEREAGZI,1765.0,11644,6.6,291000
BEYOGLU,KADI MEHMET EFENDI,72513.0,10172,0.14,582000
BEYOGLU,KALYONCUKULLUGU,63495.0,3108,0.049,582000
BEYOGLU,YENISEHIR,55422.0,5823,0.11,582000
BEYOGLU,CUKUR,51825.0,2735,0.053,582000
BEYOGLU,KAPTANPASA,48196.0,19818,0.41,582000
BEYOGLU,PIYALEPASA,47589.0,23469,0.49,582000
BEYOGLU,FETIHTEPE,47265.0,15490,0.33,582000
BEYOGLU,KUCUKPIYALE,46560.0,9312,0.2,582000
BEYOGLU,HACIAHMET,45817.0,15383,0.34,582000
BEYOGLU,YAHYA KAHYA,43557.0,3733,0.086,582000
BEYOGLU,SURURI,41497.0,4388,0.11,582000
BEYOGLU,BULBUL,41435.0,3883,0.094,582000
BEYOGLU,KULAKSIZ,41426.0,9706,0.23,582000
BEYOGLU,BOSTAN,39812.0,2468,0.062,582000
BEYOGLU,FIRUZAGA,39618.0,4046,0.1,582000
BEYOGLU,KECECIPIRI,37393.0,14386,0.38,582000
BEYOGLU,HALICIOGLU,33275.0,13274,0.4,582000
BEYOGLU,PIRIPASA,31619.0,15706,0.5,582000
BEYOGLU,CIHANGIR,31069.0,3482,0.11,582000
BEYOGLU,CATMAMESCIT,26839.0,2504,0.093,582000
BEYOGLU,ORNEKTEPE,19564.0,10556,0.54,582000
BEYOGLU,TOMTOM,18950.0,2657,0.14,582000
BEYOGLU,SUTLUCE,18395.0,12474,0.68,582000
BEYOGLU,ISTIKLAL,17438.0,4481,0.26,582000
BEYOGLU,PURTELAS,17346.0,1872,0.11,582000
BEYOGLU,SEHIT MUHTAR,15608.0,1493,0.096,582000
BEYOGLU,HACIMIMI,14808.0,1368,0.092,582000
BEYOGLU,KULOGLU,13778.0,1463,0.11,582000
BEYOGLU,KAMERHATUN,13549.0,886,0.065,582000
BEYOGLU,KOCATEPE,12439.0,2136,0.17,582000
BEYOGLU,KILICALIPASA,10321.0,2476,0.24,582000
BEYOGLU,SAHKULU,10112.0,840,0.083,582000
BEYOGLU,KATIP MUSTAFA CELEBI,9670.0,834,0.086,582000
BEYOGLU,OMERAVNI,8836.0,2092,0.24,582000
BEYOGLU,MUEYYETZADE,7146.0,518,0.072,582000
BEYOGLU,CAMIIKEBIR,6742.0,2854,0.42,582000
BEYOGLU,GUMUSSUYU,6215.0,2109,0.34,582000
BEYOGLU,HUSEYINAGA,5770.0,368,0.064,582000
BEYOGLU,BEREKETZADE,5520.0,405,0.073,582000
BEYOGLU,ASMALIMESCIT,5375.0,463,0.086,582000
BEYOGLU,EVLIYA CELEBI,4451.0,283,0.064,582000
BEYOGLU,BEDRETTIN,3111.0,752,0.24,582000
BEYOGLU,EMEKYEMEZ,1947.0,121,0.062,582000
BEYOGLU,KEMANKES KARA MUSTAFA PASA,905.0,128,0.14,582000
BEYOGLU,ARAPCAMI,583.0,91,0.16,582000
BUYUKCEKMECE,ATATURK,15106.0,18711,1.2,267000
BUYUKCEKMECE,MIMAROBA,13530.0,18376,1.4,267000
BUYUKCEKMECE,DIZDARIYE,11959.0,6987,0.58,267000
BUYUKCEKMECE,FATIH,9822.0,19379,2.0,267000
BUYUKCEKMECE,EKINOBA,9675.0,12040,1.2,267000
BUYUKCEKMECE,SINANOBA,9356.0,14778,1.6,267000
BUYUKCEKMECE,MURATCESME,6430.0,15632,2.4,267000
BUYUKCEKMECE,PINARTEPE,4962.0,18425,3.7,267000
BUYUKCEKMECE,MIMARSINAN,3472.0,8814,2.5,267000
BUYUKCEKMECE,ULUS,3375.0,15732,4.7,267000
BUYUKCEKMECE,CUMHURIYET,3195.0,7553,2.4,267000
BUYUKCEKMECE,HURRIYET,3006.0,20603,6.9,267000
BUYUKCEKMECE,KUMBURGAZ MERKEZ,1711.0,6850,4.0,267000
BUYUKCEKMECE,YENIMAHALLE,1280.0,1986,1.6,267000
BUYUKCEKMECE,TURKOBA,1144.0,13189,11.5,267000
BUYUKCEKMECE,GUZELCE,1141.0,6836,6.0,267000
BUYUKCEKMECE,19 MAYIS,1106.0,8337,7.5,267000
BUYUKCEKMECE,CAKMAKLI,942.0,5137,5.5,267000
BUYUKCEKMECE,ALKENT,712.0,4635,6.5,267000
BUYUKCEKMECE,KAMILOBA,481.0,6800,14.1,267000
BUYUKCEKMECE,BAHCELIEVLER,478.0,3428,7.2,267000
BUYUKCEKMECE,CELALIYE,410.0,5484,13.4,267000
BUYUKCEKMECE,AHMEDIYE,406.0,1233,3.0,267000
BUYUKCEKMECE,KARAAGAC,89.4,2529,28.3,267000
CATALCA,FERHATPASA,829.0,21572,26.0,213000
CATALCA,KALEICI,314.0,7503,23.9,213000
CATALCA,KESTANELIK,228.0,2286,10.0,213000
CATALCA,CANAKCA,208.0,2598,12.5,213000
CATALCA,GOKCEALI,198.0,1812,9.2,213000
CATALCA,OKLALI,190.0,1345,7.1,213000
CATALCA,CAKIL,116.0,2491,21.4,213000
CATALCA,SUBASI,77.4,1444,18.7,213000
CATALCA,KABAKCA,76.3,1624,21.3,213000
CATALCA,MURATBEY MERKEZ,76.2,1409,18.5,213000
CATALCA,CIFTLIKKOY,75.8,1872,24.7,213000
CATALCA,AKALAN,65.1,1085,16.7,213000
CATALCA,OVAYENICE,58.6,1172,20.0,213000
CATALCA,IHSANIYE,49.5,1641,33.2,213000
CATALCA,IZETTIN,44.5,1017,22.9,213000
CATALCA,ORCUNLU,43.7,561,12.8,213000
CATALCA,HISARBEYLI,40.3,369,9.1,213000
CATALCA,BAHSAYIS,38.8,367,9.5,213000
CATALCA,KARACAKOY,36.8,2490,67.6,213000
CATALCA,GUMUSPINAR,35.4,851,24.0,213000
CATALCA,ELBASAN,35.1,563,16.0,213000
CATALCA,HALLACLI,34.9,1213,34.8,213000
CATALCA,ORENCIK,33.9,790,23.3,213000
CATALCA,ORMANLI,33.1,1051,31.8,213000
CATALCA,DAGYENICE,32.3,713,22.1,213000
CATALCA,ATATURK,32.3,1127,34.9,213000
CATALCA,BASAK,32.0,386,12.1,213000
CATALCA,INCEGIZ,31.0,772,24.9,213000
CATALCA,KALFA,29.9,776,26.0,213000
CATALCA,AYDINLAR,23.5,829,35.3,213000
CATALCA,YAZLIK,19.6,356,18.1,213000
